block	currier	hand	joint_class	source	target	source_count	target_count	edge_count	opportunities	block_tokens	p_target_given_source	p_target_baseline	enrichment	log2_enrichment	sign
G1/generic#5	G1	generic	G1/generic	x000000	x000292	6	0	0	6	607	0.001526717557	0.0005385029618	2.835114504	1.503407004	preferred
G2/generic#5	G2	generic	G2/generic	x000000	x000292	9	2	0	9	640	0.001512859304	0.002600104004	0.5818456884	-0.7812915091	depleted
G3/generic#5	G3	generic	G3/generic	x000000	x000292	5	0	0	5	601	0.001531393568	0.0005420054201	2.825421133	1.498465919	preferred
G0/generic#6	G0	generic	G0/generic	x000000	x000292	10	0	0	10	744	0.001508295626	0.0004692632567	3.214177979	1.684449818	preferred
G1/generic#6	G1	generic	G1/generic	x000000	x000292	9	0	0	9	676	0.001512859304	0.0005012531328	3.018154312	1.59366657	preferred
G2/generic#6	G2	generic	G2/generic	x000000	x000292	9	1	0	9	522	0.001512859304	0.001778304683	0.8507312153	-0.2332247039	depleted
G3/generic#6	G3	generic	G3/generic	x000000	x000292	5	0	0	5	592	0.001531393568	0.0005473453749	2.797856049	1.484321737	preferred
G0/generic#7	G0	generic	G0/generic	x000000	x000292	5	0	0	5	709	0.001531393568	0.0004852013586	3.156202144	1.658189608	preferred
G1/generic#7	G1	generic	G1/generic	x000000	x000292	11	0	0	11	710	0.001503759398	0.0004847309743	3.102255639	1.633317575	preferred
G2/generic#7	G2	generic	G2/generic	x000000	x000292	10	0	0	10	659	0.001508295626	0.0005099439062	2.957767722	1.56450876	preferred
G3/generic#7	G3	generic	G3/generic	x000000	x000292	5	0	0	5	554	0.001531393568	0.0005711022273	2.681470138	1.423024187	preferred
G0/generic#8	G0	generic	G0/generic	x000000	x000292	9	1	0	9	598	0.001512859304	0.00163132137	0.9273827534	-0.1087631978	depleted
G1/generic#8	G1	generic	G1/generic	x000000	x000292	7	0	0	7	605	0.001522070015	0.0005396654074	2.820395738	1.495897606	preferred
G3/generic#8	G3	generic	G3/generic	x000000	x000292	6	1	1	6	645	0.004580152672	0.001551991723	2.951145038	1.561274826	preferred
G3/generic#9	G3	generic	G3/generic	x000000	x000292	6	0	0	6	678	0.001526717557	0.0005002501251	3.051908397	1.60971166	preferred
G0/generic#10	G0	generic	G0/generic	x000000	x000292	6	0	0	6	629	0.001526717557	0.0005260389269	2.902290076	1.53719172	preferred
G3/generic#10	G3	generic	G3/generic	x000000	x000292	5	1	0	5	735	0.001531393568	0.0014197823	1.078611536	0.1091753697	preferred
G0/generic#11	G0	generic	G0/generic	x000000	x000292	8	2	0	8	695	0.001517450683	0.002459419577	0.6169954476	-0.6966682501	depleted
G1/generic#11	G1	generic	G1/generic	x000000	x000292	11	0	0	11	701	0.001503759398	0.000488997555	3.07518797	1.620674597	preferred
G2/generic#11	G2	generic	G2/generic	x000000	x000292	9	0	0	9	852	0.001512859304	0.0004260758415	3.550680787	1.828095665	preferred
G0/generic#12	G0	generic	G0/generic	x000000	x000292	10	1	0	10	698	0.001508295626	0.001471309465	1.02513826	0.03581849918	preferred
