block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G0/generic#1	G2/generic#6	103	62	53	0.4732142857	0.6866777584	0
G0/generic#1	G3/generic#6	103	67	57	0.5044247788	0.6541397819	0
G0/generic#1	G0/generic#7	103	99	77	0.616	0.7327126306	0
G0/generic#1	G1/generic#7	103	100	77	0.6111111111	0.7334501093	0
G0/generic#1	G2/generic#7	103	66	53	0.4568965517	0.6195732117	0
G0/generic#1	G3/generic#7	103	70	61	0.5446428571	0.6920386267	0
G0/generic#1	G0/generic#8	103	81	70	0.6140350877	0.7429304567	0
G0/generic#1	G1/generic#8	103	75	65	0.5752212389	0.7161812995	0
G0/generic#1	G2/generic#8	103	56	50	0.4587155963	0.6641042386	0
G0/generic#1	G3/generic#8	103	80	75	0.6944444444	0.7891901159	0
G0/generic#1	G0/generic#9	103	66	50	0.4201680672	0.6143553775	0
G0/generic#1	G1/generic#9	103	88	71	0.5916666667	0.7123812904	0
G0/generic#1	G2/generic#9	103	83	69	0.5897435897	0.7429361052	0
G0/generic#1	G3/generic#9	103	107	82	0.640625	0.7288005334	0
G0/generic#1	G0/generic#10	103	102	82	0.6666666667	0.7910342487	0
G0/generic#1	G1/generic#10	103	77	63	0.5384615385	0.7344686127	0
G0/generic#1	G2/generic#10	103	69	58	0.5087719298	0.6742911221	0
G0/generic#1	G3/generic#10	103	104	80	0.6299212598	0.7104021934	0
G0/generic#1	G0/generic#11	103	96	79	0.6583333333	0.7798648684	0
G0/generic#1	G1/generic#11	103	61	47	0.4017094017	0.6127820732	0
G0/generic#1	G2/generic#11	103	98	66	0.4888888889	0.673744745	0
G0/generic#1	G3/generic#11	103	121	85	0.6115107914	0.7410465365	0
G0/generic#1	G0/generic#12	103	97	78	0.6393442623	0.7683106005	0
G0/generic#1	G1/generic#12	103	91	77	0.6581196581	0.802156692	0
G0/generic#1	G2/generic#12	103	94	72	0.576	0.6840381082	0
G0/generic#1	G3/generic#12	103	102	79	0.626984127	0.7259490185	0
G0/generic#1	G0/generic#13	103	90	76	0.6495726496	0.7459895565	0
G0/generic#1	G1/generic#13	103	95	80	0.6779661017	0.7618935472	0
G0/generic#1	G2/generic#13	103	89	64	0.5	0.6889829832	0
G0/generic#1	G3/generic#13	103	99	77	0.616	0.7554718863	0
G0/generic#1	G0/generic#14	103	109	81	0.6183206107	0.7325889003	0
G0/generic#1	G1/generic#14	103	95	69	0.5348837209	0.6994246778	0
G0/generic#1	G2/generic#14	103	97	81	0.6806722689	0.8158855165	0
G0/generic#1	G3/generic#14	103	89	69	0.5609756098	0.6635080281	0
G0/generic#1	G0/generic#15	103	93	77	0.6470588235	0.7883215216	0
G0/generic#1	G1/generic#15	103	110	82	0.6259541985	0.7188634605	0
G0/generic#1	G2/generic#15	103	108	82	0.6356589147	0.7442179175	0
G0/generic#1	G3/generic#15	103	57	52	0.4814814815	0.6300952918	0
G1/generic#1	G2/generic#1	86	62	52	0.5416666667	0.6724762651	0
G1/generic#1	G3/generic#1	86	82	66	0.6470588235	0.7856236576	0
G1/generic#1	G0/generic#2	86	105	76	0.6608695652	0.7650542484	0
G1/generic#1	G1/generic#2	86	82	60	0.5555555556	0.7358645961	0
G1/generic#1	G2/generic#2	86	104	70	0.5833333333	0.7257140984	0
G1/generic#1	G3/generic#2	86	99	69	0.5948275862	0.7456200784	0
G1/generic#1	G0/generic#3	86	110	75	0.6198347107	0.7454684288	0
G1/generic#1	G1/generic#3	86	108	73	0.6033057851	0.773246549	0
G1/generic#1	G2/generic#3	86	93	60	0.5042016807	0.6774831459	0
G1/generic#1	G3/generic#3	86	89	64	0.5765765766	0.7050608669	0
G1/generic#1	G0/generic#4	86	88	58	0.5	0.6097902693	0
G1/generic#1	G1/generic#4	86	99	68	0.5811965812	0.7195040355	0
G1/generic#1	G2/generic#4	86	111	75	0.6147540984	0.7669665547	0
G1/generic#1	G3/generic#4	86	93	72	0.6728971963	0.7508317336	0
G1/generic#1	G0/generic#5	86	101	68	0.5714285714	0.7274331036	0
G1/generic#1	G1/generic#5	86	94	64	0.5517241379	0.6849061738	1
G1/generic#1	G2/generic#5	86	71	49	0.4537037037	0.6236217561	0
G1/generic#1	G3/generic#5	86	98	58	0.4603174603	0.6472087447	0
G1/generic#1	G0/generic#6	86	89	68	0.6355140187	0.7663100896	0
G1/generic#1	G1/generic#6	86	84	61	0.5596330275	0.6920089745	0
