block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G0/generic#1	G2/generic#6	40	31	30	0.7317073171	0.8227401436	0
G0/generic#1	G3/generic#6	40	26	16	0.32	0.5879204881	0
G0/generic#1	G0/generic#7	40	34	23	0.4509803922	0.6574032618	0
G0/generic#1	G1/generic#7	40	35	19	0.3392857143	0.5571186046	0
G0/generic#1	G2/generic#7	40	24	17	0.3617021277	0.5685965669	0
G0/generic#1	G3/generic#7	40	28	22	0.4782608696	0.6623668973	0
G0/generic#1	G0/generic#8	40	22	18	0.4090909091	0.6268098578	0
G0/generic#1	G1/generic#8	40	27	22	0.4888888889	0.6110093553	0
G0/generic#1	G2/generic#8	40	15	13	0.3095238095	0.5591365975	0
G0/generic#1	G3/generic#8	40	33	25	0.5208333333	0.6995262491	0
G0/generic#1	G0/generic#9	40	19	15	0.3409090909	0.5427153104	1
G0/generic#1	G1/generic#9	40	29	24	0.5333333333	0.6770132052	0
G0/generic#1	G2/generic#9	40	38	30	0.625	0.7455178315	0
G0/generic#1	G3/generic#9	40	43	33	0.66	0.7694675212	0
G0/generic#1	G0/generic#10	40	39	23	0.4107142857	0.6054825304	0
G0/generic#1	G1/generic#10	40	24	19	0.4222222222	0.5862960136	0
G0/generic#1	G2/generic#10	40	23	16	0.3404255319	0.5042493367	0
G0/generic#1	G3/generic#10	40	48	31	0.5438596491	0.6770581025	1
G0/generic#1	G0/generic#11	40	41	27	0.5	0.6659023445	0
G0/generic#1	G1/generic#11	40	26	21	0.4666666667	0.6421639699	0
G0/generic#1	G2/generic#11	40	37	18	0.3050847458	0.5223399017	0
G0/generic#1	G3/generic#11	40	50	28	0.4516129032	0.5933329037	0
G0/generic#1	G0/generic#12	40	46	33	0.6226415094	0.7675491786	0
G0/generic#1	G1/generic#12	40	33	26	0.5531914894	0.6894188657	0
G0/generic#1	G2/generic#12	40	38	24	0.4444444444	0.5840796852	0
G0/generic#1	G3/generic#12	40	52	34	0.5862068966	0.7158577914	0
G0/generic#1	G0/generic#13	40	43	33	0.66	0.7868411605	0
G0/generic#1	G1/generic#13	40	50	33	0.5789473684	0.7565209415	0
G0/generic#1	G2/generic#13	40	31	20	0.3921568627	0.5361836493	0
G0/generic#1	G3/generic#13	40	33	25	0.5208333333	0.7007274067	0
G0/generic#1	G0/generic#14	40	53	33	0.55	0.7109309591	0
G0/generic#1	G1/generic#14	40	40	19	0.3114754098	0.5058832017	0
G0/generic#1	G2/generic#14	40	47	32	0.5818181818	0.7359530995	0
G0/generic#1	G3/generic#14	40	32	22	0.44	0.6028125193	0
G0/generic#1	G0/generic#15	40	48	28	0.4666666667	0.6423098214	0
G0/generic#1	G1/generic#15	40	56	33	0.5238095238	0.6726753344	0
G0/generic#1	G2/generic#15	40	47	33	0.6111111111	0.7587869145	0
G0/generic#1	G3/generic#15	40	12	11	0.2682926829	0.4867180831	1
G1/generic#1	G2/generic#1	37	32	28	0.6829268293	0.7991304443	0
G1/generic#1	G3/generic#1	37	26	22	0.5365853659	0.6756532469	0
G1/generic#1	G0/generic#2	37	49	33	0.6226415094	0.7623845531	0
G1/generic#1	G1/generic#2	37	39	26	0.52	0.6709060257	1
G1/generic#1	G2/generic#2	37	41	26	0.5	0.6108862142	0
G1/generic#1	G3/generic#2	37	60	32	0.4923076923	0.6808808818	0
G1/generic#1	G0/generic#3	37	45	25	0.4385964912	0.6331088634	0
G1/generic#1	G1/generic#3	37	47	30	0.5555555556	0.6786212771	0
G1/generic#1	G2/generic#3	37	44	26	0.4727272727	0.6330026845	0
G1/generic#1	G3/generic#3	37	39	28	0.5833333333	0.675122213	0
G1/generic#1	G0/generic#4	37	34	19	0.3653846154	0.5263582559	0
G1/generic#1	G1/generic#4	37	42	30	0.612244898	0.7648837857	0
G1/generic#1	G2/generic#4	37	37	24	0.48	0.6772673426	0
G1/generic#1	G3/generic#4	37	35	24	0.5	0.622733649	0
G1/generic#1	G0/generic#5	37	38	19	0.3392857143	0.5376207384	0
G1/generic#1	G1/generic#5	37	31	21	0.4468085106	0.6226316719	0
G1/generic#1	G2/generic#5	37	10	8	0.2051282051	0.3874016908	0
G1/generic#1	G3/generic#5	37	25	17	0.3777777778	0.5451939598	0
G1/generic#1	G0/generic#6	37	40	30	0.6382978723	0.7467802099	1
G1/generic#1	G1/generic#6	37	29	18	0.375	0.5224330894	0
G1/generic#1	G2/generic#6	37	31	24	0.5454545455	0.7103595651	0
G1/generic#1	G3/generic#6	37	26	16	0.3404255319	0.4884873521	0
G1/generic#1	G0/generic#7	37	34	23	0.4791666667	0.5735653655	0
G1/generic#1	G1/generic#7	37	35	19	0.358490566	0.4963068854	0
G1/generic#1	G2/generic#7	37	24	19	0.4523809524	0.6512802463	0
G1/generic#1	G3/generic#7	37	28	20	0.4444444444	0.5873171473	0
G1/generic#1	G0/generic#8	37	22	16	0.3720930233	0.4848639353	0
G1/generic#1	G1/generic#8	37	27	18	0.3913043478	0.5858814714	0
G1/generic#1	G2/generic#8	37	15	10	0.2380952381	0.3931705751	0
G1/generic#1	G3/generic#8	37	33	26	0.5909090909	0.7322817107	0
G1/generic#1	G0/generic#9	37	19	14	0.3333333333	0.479609701	0
G1/generic#1	G1/generic#9	37	29	23	0.5348837209	0.7105698317	0
G1/generic#1	G2/generic#9	37	38	32	0.7441860465	0.8735148577	0
G1/generic#1	G3/generic#9	37	43	29	0.568627451	0.6760283694	0
G1/generic#1	G0/generic#10	37	39	22	0.4074074074	0.5721203519	0
G1/generic#1	G1/generic#10	37	24	18	0.4186046512	0.5873379932	1
G1/generic#1	G2/generic#10	37	23	20	0.5	0.6687210385	0
G1/generic#1	G3/generic#10	37	48	27	0.4655172414	0.6486692742	0
G1/generic#1	G0/generic#11	37	41	26	0.5	0.6547360177	0
G1/generic#1	G1/generic#11	37	26	19	0.4318181818	0.5696081123	0
G1/generic#1	G2/generic#11	37	37	17	0.298245614	0.461950467	0
G1/generic#1	G3/generic#11	37	50	30	0.5263157895	0.684684929	0
G1/generic#1	G0/generic#12	37	46	29	0.537037037	0.659673012	0
G1/generic#1	G1/generic#12	37	33	22	0.4583333333	0.6037098731	0
G1/generic#1	G2/generic#12	37	38	24	0.4705882353	0.6556669582	0
G1/generic#1	G3/generic#12	37	52	30	0.5084745763	0.6569139264	1
G1/generic#1	G0/generic#13	37	43	30	0.6	0.7404572617	0
G1/generic#1	G1/generic#13	37	50	32	0.5818181818	0.7192406869	0
G1/generic#1	G2/generic#13	37	31	23	0.5111111111	0.613952227	0
G1/generic#1	G3/generic#13	37	33	20	0.4	0.6182918019	0
G1/generic#1	G0/generic#14	37	53	29	0.4754098361	0.6137248108	0
G1/generic#1	G1/generic#14	37	40	18	0.3050847458	0.4632467374	0
G1/generic#1	G2/generic#14	37	47	29	0.5272727273	0.6890177787	0
G1/generic#1	G3/generic#14	37	32	22	0.4680851064	0.6087184951	0
G1/generic#1	G0/generic#15	37	48	27	0.4655172414	0.6174258458	0
G1/generic#1	G1/generic#15	37	56	32	0.5245901639	0.7228817485	0
G1/generic#1	G2/generic#15	37	47	26	0.4482758621	0.5876396108	0
G1/generic#1	G3/generic#15	37	12	10	0.2564102564	0.5091056759	0
G2/generic#1	G3/generic#1	32	26	20	0.5263157895	0.690380292	0
G2/generic#1	G0/generic#2	32	49	29	0.5576923077	0.7030686839	0
G2/generic#1	G1/generic#2	32	39	23	0.4791666667	0.6309617452	0
