window_size	method	k	representation	windows	silhouette	within_dispersion	between_dispersion	cluster_size_entropy	smallest_cluster_fraction
50	hierarchical	11	standardized	4059	0.22138096864581808	108782.61343631364	140510.1479369286	0.18520336747890956	0.0017245627001724563
50	hierarchical	12	standardized	4059	0.22583177215656458	108518.83181935798	139896.20238220468	0.20239385496981183	0.0017245627001724563
50	hierarchical	13	standardized	4059	0.23042385825376216	108249.98889023474	139390.93767174514	0.21957808950729948	0.0017245627001724563
50	hierarchical	14	standardized	4059	0.2302089700802109	107995.87568810064	138831.32239720237	0.23675605518051546	0.0017245627001724563
50	hierarchical	15	standardized	4059	0.22725224529692145	107755.33577067057	138238.77924005652	0.25392773599742424	0.0017245627001724563
100	hierarchical	2	standardized	1922	0.26662757318338404	80630.78307006352	109224.07573331152	0.035256998768560435	0.005723204994797087
100	hierarchical	3	standardized	1922	0.26934351266833123	80341.280932838	109185.5070556946	0.07313834518540485	0.005723204994797087
100	hierarchical	4	standardized	1922	0.24303207139406846	80098.79319853224	107500.58391142485	0.09475845184445109	0.004682622268470343
100	hierarchical	5	standardized	1922	0.21608612456231985	79896.9505243562	105584.71368835925	0.12992818635275727	0.004682622268470343
100	hierarchical	6	standardized	1922	0.20882794053820242	79708.74521955154	104113.43401668356	0.1596703325424684	0.004682622268470343
100	hierarchical	7	standardized	1922	0.2095454137601932	79523.17677820222	103044.32219637549	0.1947791000682118	0.004682622268470343
100	hierarchical	8	standardized	1922	0.2136494521214263	79335.25715471925	102273.32636414887	0.22985405684146418	0.004682622268470343
100	hierarchical	9	standardized	1922	0.2059424612759759	79163.07968289316	101475.97139943806	0.26489500193157045	0.004682622268470343
100	hierarchical	10	standardized	1922	0.2102446862644799	78986.20934735752	100876.28474441517	0.2831994997819036	0.003121748178980229
100	hierarchical	11	standardized	1922	0.2120221769485876	78813.15571000833	100335.44347611892	0.3155069134585373	0.003121748178980229
100	hierarchical	12	standardized	1922	0.20981088381580024	78649.63342205742	99790.65649389822	0.3451046945118005	0.003121748178980229
100	hierarchical	13	standardized	1922	0.2136771746164867	78483.6668990212	99335.37966548499	0.37467926864164103	0.003121748178980229
100	hierarchical	14	standardized	1922	0.2123048700745365	78326.61735075833	98869.84694587997	0.4069064593909443	0.003121748178980229
100	hierarchical	15	standardized	1922	0.208208986083343	78180.47608505335	98384.99342890848	0.43643166013991985	0.003121748178980229
200	hierarchical	2	standardized	853	0.1854245777295999	59104.51028567024	72513.31581923633	0.24842229571924512	0.06799531066822978
200	hierarchical	3	standardized	853	0.1839418927075508	59018.15955825206	72517.4060925047	0.2652040787220032	0.005861664712778429
200	hierarchical	4	standardized	853	0.17963418535086867	58688.24937433775	72547.46693543182	0.29901961506491365	0.004689331770222743
200	hierarchical	5	standardized	853	0.14811556331493664	58341.815893768915	72557.63673216362	0.3246026786563341	0.004689331770222743
200	hierarchical	6	standardized	853	0.15131241633872738	57999.6616804126	72560.31827296031	0.34749557252125396	0.004689331770222743
200	hierarchical	7	standardized	853	0.08170781253553104	57636.8413975784	68963.68514083477	0.5121259804702593	0.004689331770222743
200	hierarchical	8	standardized	853	0.08501374229965332	57266.499943475486	67782.36741112388	0.6565492747767716	0.004689331770222743
200	hierarchical	9	standardized	853	0.08549360766774526	56938.792563713396	67095.47543603348	0.7468129525259175	0.004689331770222743
200	hierarchical	10	standardized	853	0.09081483390058886	56517.60098015459	67110.37491686213	0.8230084542304015	0.004689331770222743
200	hierarchical	11	standardized	853	0.08992558719672486	56086.295394529734	65932.17970957427	1.0158862289236508	0.004689331770222743
200	hierarchical	12	standardized	853	0.09307325357250733	55806.77257491322	65933.97734039949	1.0344999659878846	0.004689331770222743
200	hierarchical	13	standardized	853	0.0960387146298086	55743.88766730886	65932.2460642577	1.0429340766767037	0.0035169988276670576
200	hierarchical	14	standardized	853	0.10549940147441234	55805.05617810851	65930.22497365506	1.049138655698115	0.0035169988276670576
200	hierarchical	15	standardized	853	0.07460877183051344	55785.63752424142	65779.94385898804	1.0835904866734654	0.0035169988276670576
500	hierarchical	2	standardized	270	0.44392606235575677	63760.34903342361	114301.49477069307	0.6924611526112329	0.48148148148148145
500	hierarchical	3	standardized	270	0.3878792225288339	59882.86132256498	110763.4589865306	0.8913970047064712	0.06666666666666667
500	hierarchical	4	standardized	270	0.26934426715394244	58059.088724498004	103503.28566176753	1.139201580723496	0.06666666666666667
500	hierarchical	5	standardized	270	0.1790245676300781	56672.76553401232	102857.43900427615	1.2401624392606487	0.025925925925925925
500	hierarchical	6	standardized	270	0.13598941849425952	56727.07774058019	102531.59329921729	1.2606335643522824	0.003703703703703704
500	hierarchical	7	standardized	270	0.11934294598578572	55333.93164258044	101278.660908003	1.4143428007472514	0.003703703703703704
500	hierarchical	8	standardized	270	0.13086316912614318	54678.228696262406	99662.32510960354	1.515010969829602	0.003703703703703704
500	hierarchical	9	standardized	270	0.15199681629676193	52271.09540679493	98589.7868197175	1.7606628322954776	0.003703703703703704
500	hierarchical	10	standardized	270	0.17830968858461593	49557.71192512626	97763.55954909182	1.945276585581409	0.003703703703703704
500	hierarchical	11	standardized	270	0.1662531836970896	48822.77344775165	97652.41405844285	2.021431248925765	0.003703703703703704
500	hierarchical	12	standardized	270	0.18358154666484772	47242.40116397002	97234.09719654157	2.142928115872869	0.003703703703703704
